scientific_name,common_names,family,duration,habit,size_category,bloom_color,fragrant,bloom_months,az_native,native_habitat,ecological_plant_groups,water_use,light_requirement,calcium_carbonate_tolerance,drought_tolerance,soil_type,watering,heat_tolerance,yard_uses,wildlife_attraction,toxic_humans,toxic_pets,toxic_part,nursery,prices,Price_category,Sizes Available,shoping_notes,images,page_link-href
Campanula rotundifolia,"Bluebell Bellflower, Bluebell Of Scotland, Bluebell, Harebell, Witches' Thimble",Campanulaceae (Bellflower Family),Perennial,Herb,Small,"Blue , Purple",No,"Jun , Jul , Aug , Sep",Y,"Moist, rocky, mt. slopes; dry meadows & prairies; open woods; limey cliffs; beaches",Desert Cacti & Succulents,Low,"Sun, Part Shade, Shade",Medium,Medium,"sandy, well-drained, moist, dry",RAINFALL ONLY,Heat Tolerant,"Rock Garden, Shade Border","Hummingbirds, Native Bees",Not toxic,Not toxic,None,Not found (nursery); specialty mail-order,SMALL-$6-10,Budget ($3-15),4'' pot,High elevation specialty,../image_archive/320x240/EWA/EWA_IMG07513.JPG,https://www.wildflower.org/plants/result.php?id_plant=CARO2
Carnegiea gigantea,"Saguaro, Giant Saguaro",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Extra Large,"White , Green",Yes,"May , Jun",Y,Rocky foothills; canyons; washes; sandy or gravelly desert plains,Riparian & Moist Site Species,Low,Sun,High,Very High,"sandy, gravelly, well-drained, caliche-tolerant", WEEKLY WATERING,Heat Lovers,"Accent/Focal Point, Desert Icon, Wildlife Habitat","Bees, Bats, Doves, Birds, Mammals, Pollinators",Not toxic,Not toxic (spines cause injury),Spines (physical); fruit edible,"Civano, Green Things, Desert Survivors",SPECIALTY-$25-1000+,Moderate ($16-40),Seedling to 6'+,Large specimens very pricey,../image_archive/320x240/TRG/TRG_IMG0145.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAGI10
Castilleja exserta,"Purple Owl's Clover, Owl's Clover, Exserted Indian Paintbrush",Scrophulariaceae (Figwort Family),Annual/Biennial,Herb,Small,"White , Pink , Yellow , Purple",No,"Mar , Apr , May",Y,Open mesas & slopes; 1500 to 4500 ft.,Mountain & High Elevation Species,Medium,Sun,Medium,Medium,"sandy, well-drained, grassland, open soils",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Wildflower/Meadow, Pollinator Garden","Hummingbirds, Native Bees, Butterflies, Pollinators",Possibly toxic,Possibly toxic,All parts (can accumulate selenium),Not found (nursery); seed only,SEED-$3-6,Budget ($3-15),Seed only,Grows as hemiparasite,../image_archive/320x240/EPS/EPS_IMG10172.JPG,https://www.wildflower.org/plants/result.php?id_plant=CAEXE
Ceanothus fendleri,"Fendler's Ceanothus, Fendler Ceanothus",Rhamnaceae (Buckthorn Family),Perennial,Shrub,Medium,White,Yes,"Jun , Jul",Y,"Pine forests of foothills & mountains; 5000 to 10,000 ft.",Mountain & High Elevation Species,Low,"Sun, Part Shade",Medium,High,"dry, rocky, well-drained",DEEP WATERING EVERY 2-3 WEEKS,Heat Sensitive,"Shrub Border, Wildlife Habitat, Informal Hedge","Native Bees, Metalmark/Duskywing Larvae, Birds",Not toxic,Not toxic,None,Not found (nursery); seed only,SEED-$4-8,Budget ($3-15),Seed only,Rare in nursery trade,../image_archive/320x240/FCOX/FCOX_0069.JPG,https://www.wildflower.org/plants/result.php?id_plant=CEFE
Ceanothus greggii,Desert Ceanothus,Rhamnaceae (Buckthorn Family),Perennial,Shrub,Medium,"White , Blue",Yes,,Y,Unknown,Shrubland & Chaparral Species,Low,Sun,High,High,"dry, rocky, sandy, granitic",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Privacy Screen, Erosion Control Slope, Habitat Plant","Native Bees, Butterflies, Birds",Not toxic,Not toxic,None,Not found (nursery); upscale specialty,SMALL-$12-22,Budget ($3-15),1g (rare),Ask native nurseries,../image_archive/320x240/RWS/RWS_IMG2290.JPG,https://www.wildflower.org/plants/result.php?id_plant=CEGR
Celtis laevigata,"Netleaf Hackberry, Netleaf Sugar Hackberry, Western Hackberry, Sugar Hackberry, Texas Sugarberry, Palo Blanco, Acibuche",Ulmaceae (Elm Family),Perennial,Tree,Extra Large,White,No,"Feb , Mar , Apr",Y,"Stream banks; washes; canyons; dry, limestone hills",Mountain & High Elevation Species,Low,"Sun, Part Shade",High,High,"rocky, moist, dry, limestone, sandy",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Shade Tree, Bird Garden","Birds, Butterflies (e.g. Hackberry Emperor), Small Mammals",Not toxic,Not toxic,None,"Civano, Desert Survivors",MEDIUM-$18-95,Moderate ($16-40),"1g, 5g, 15g","Shade tree, common in larger size",../image_archive/320x240/WFJ/WFJ_IMG0076.JPG,https://www.wildflower.org/plants/result.php?id_plant=CELAR
Chamaebatiaria millefolium,"Desert Sweet, Fernbush, Tansy Bush",Rosaceae (Rose Family),Perennial,Shrub,Medium,White,Yes,"Jul , Aug , Sep",Y,"Dry, rocky, mountain slopes",Desert Plants,Low,"Sun, Part Shade",High,High,"nutrient-poor, dry, gravelly, alkaline-tolerated",RAINFALL ONLY,Heat Lovers,"Shrub Border, Slope Stabilization, Screen","Native Bees, Butterflies",Not toxic,Not toxic,None,Not found (nursery),SEED-$5-8,Budget ($3-15),Seed only,Seed or restoration only,../image_archive/320x240/CAF/CAF_IMG0058.JPG,https://www.wildflower.org/plants/result.php?id_plant=CHMI2
Chilopsis linearis,"Desert Willow, Flowering Willow, Willow-leaved Catalpa, Willowleaf Catalpa, Bow Willow, Flor De Mimbre, Mimbre",Bignoniaceae (Trumpet-Creeper Family),Perennial,Tree/Small Tree,Extra Large,"White , Pink , Purple , Violet",Yes (Slight),"Apr , May , Jun , Jul , Aug , Sep , Oct",Y,"Ditches, ravines, depressions, streams, river banks, arroyos, swales, and washes in desert areas",Riparian & Moist Site Species,Low,Sun,High,High,"well-drained, limestone, sandy, loamy, gravel, caliche", WEEKLY WATERING,Heat Sensitive,"Shade Tree, Small Patio Accent, Pollinator Garden","Birds, Butterflies, Hummingbirds, Native Bees, Pollinators",Not toxic,Not toxic,None,"Civano, Green Things",SMALL-$12 LARGE-$85,Budget ($3-15),"1g, 5g, 15g, 24'' box",Trees available in multiple sizes,../image_archive/320x240/JLR/JLR_IMG13122.JPG,https://www.wildflower.org/plants/result.php?id_plant=CHLI2
Clematis ligusticifolia,"Western White Clematis, Virgin's Bower, Pepper Vine, Hierba De Chivo",Ranunculaceae (Buttercup Family),Perennial,Vine,Extra Large,White,No/Slight,"Apr , May , Jun , Jul , Aug",Y,"Woods along streams; moist, brushy coulees",Desert Plants,Medium,"Sun, Part Shade, Shade",Medium,Medium,"rich, well-drained, moist, damp",RAINFALL ONLY,Heat Sensitive,"Screening Vine, Fence Cover, Pollinator Garden","Birds, Hummingbirds, Native Bees, Insects",Toxic,Toxic,All parts (protoanemonin),"Desert Survivors, Native Roots",SMALL-$10-26,Budget ($3-15),"1g, 4''",Spring/fall availability,../image_archive/320x240/JAM6151/6151_IMG03243.JPG,https://www.wildflower.org/plants/result.php?id_plant=CLLI2
Cylindropuntia acanthocarpa,"Buckhorn Cholla, Staghorn Cholla",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Medium,"Red , Yellow",No,"Apr , May",Y,Open areas to 3500 ft.,Desert Cacti & Succulents,Low,Sun,High,Very High,"sandy, well-drained",RAINFALL ONLY,Heat Lovers,"Security Barrier, Wildlife Habitat, Xeriscape","Native Bees, Birds, Desert Wildlife",Not toxic,Not toxic (spines dangerous),Spines (physical hazard),"Civano, Native Roots",SMALL-$8-14,Budget ($3-15),"1g, pad",Cholla available as pad/plant,../image_archive/320x240/EPS/EPS_IMG12192.JPG,https://www.wildflower.org/plants/result.php?id_plant=CYACA2
Cylindropuntia bigelovii,Teddybear Cholla,Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Medium,"White , Yellow , Green",No,"Mar , Apr , Jun , Jul , Aug",Y,"Hot, dry rocky slopes in deserts",Desert Cacti & Succulents,Low,Sun,High,Very High,"dry, sandy, gravelly, rocky, caliche",RAINFALL ONLY,Heat Lovers,"Security Barrier, Wildlife Habitat, Xeriscape","Native Bees, Birds, Small Mammals",Not toxic,Not toxic (spines dangerous),Spines (dangerous to pets),"Green Things, Civano, Native Roots",SMALL-$8-22,Budget ($3-15),"1g, pad, 5g+",Widely offered,,https://www.wildflower.org/plants/result.php?id_plant=CYBI9
Cylindropuntia leptocaulis,"Tasajillo, Christmas Cactus, Pencil Cactus, Christmas Cholla, Desert Christmas Cactus",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Medium,"Yellow , Green",No,"Apr , May , Jul , Aug",Y,"Mesas, flats, valleys & washes in deserts",Shrubland & Chaparral Species,Low,Sun,High,Very High,"gravelly, sandy, loamy, bottomland, caliche, disturbed",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Security Barrier, Wildlife Habitat, Xeriscape","Native Bees, Birds, Mammals",Not toxic,Not toxic (spines dangerous),Spines (dangerous to pets),"Civano, Native Roots",SMALL-$8-14,Budget ($3-15),"1g, pad",Pads/starts easiest/cheapest,../image_archive/320x240/PCD3632/PCD3632_IMG0007.JPG,https://www.wildflower.org/plants/result.php?id_plant=CYLE8
Dalea greggii,"Gregg Dalea, Gregg's Prairie Clover, Trailing Indigo Bush, Indigo Bush",Fabaceae (Pea Family),Perennial,Herb/Shrub,Small,Purple,Yes (slight),"May , Jun , Jul , Aug , Sep",N,"In the northern part of its range, rocky, limestone hills in the Chihuahuan Desert; 2000 to 5000 ft.",Shrubland & Chaparral Species,Low,"Sun, Part Shade",High,High,"well-drained, dry, granitic, sandy, caliche, limestone, gravel",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Ground Cover, Slope Stabilization, Pollinator Garden","Bees, Butterflies, Native Bees, Bumble Bees, Honey Bees, Pollinators",Not toxic,Not toxic,None,"Civano, Desert Survivors",SMALL-$8-14,Budget ($3-15),"1g, 5g","Good groundcover, widely stocked",../image_archive/320x240/JAM6151/6151_IMG00786.JPG,https://www.wildflower.org/plants/result.php?id_plant=DAGR2
Dalea purpurea,"Purple Prairie Clover, Violet Prairie Clover",Fabaceae (Pea Family),Perennial,Herb,Medium,"Pink , Purple",No,"May , Jun , Jul",N,"Prairies; open woods, Infrequent in West Texas in open grasslands",Medium Drought Tolerance Species,Low,Sun,Medium,High,"well-drained, sandy, calcareous", WEEKLY WATERING,Heat Tolerant,"Wildflower Meadow, Prairie, Pollinator Garden","Birds, Butterflies, Native Bees, Bumble Bees, Honey Bees",Not toxic,Not toxic,None,"Civano, Native Roots",SMALL-$8-14,Budget ($3-15),"1g, 5g","Prairie clover, regularly stocked",../image_archive/320x240/SCB/SCB_IMG1911.JPG,https://www.wildflower.org/plants/result.php?id_plant=DAPUP
Dasiphora fruticosa,"Shrubby Cinquefoil, Golden Hardhack, Potentilla",Rosaceae (Rose Family),Perennial,Shrub,Medium,Yellow,No/Slight,"Jun , Jul , Aug , Sep",N,"Wet to dry, open calcareous sites",Desert Cacti & Succulents,Low,Sun,Medium,Medium,"moist, dry, variable, calcareous, circumneutral",RAINFALL ONLY,Heat Tolerant,"Shrub Border, Pollinator Garden, Foundation Plant","Butterflies, Native Bees, Pollinators",Not toxic,Not toxic,None,Not found (nursery),SMALL-$8-12,Budget ($3-15),1g,Rare; cold climate species,../image_archive/320x240/SAW/SAW_02647.JPG,https://www.wildflower.org/plants/result.php?id_plant=DAFRF
Dasylirion wheeleri,"Common Sotol, Sotol, Desert Spoon, Desert Candle",Liliaceae (Lily Family),Perennial,Shrub,Medium,Yellow,Yes (Crushed Leaves),"May , Jun , Jul",Y,Rocky desert slopes,Desert Plants,Low,Sun,High,Very High,"gravel, rocky slopes, well-drained, arid, caliche-tolerated",RAINFALL ONLY,Heat Lovers,"Specimen/Focal Point, Xeriscape, Security Barrier","Hummingbirds, Pollinators, Birds",Not toxic (irritation if eaten raw),Not toxic,Leaves raw (mild GI irritation),"Civano, Desert Survivors",MEDIUM-$22-65,Moderate ($16-40),"5g, 15g",Specimen/landscape size options,../image_archive/320x240/A_C/A_C_IMG2770.JPG,https://www.wildflower.org/plants/result.php?id_plant=DAWH2
Delphinium parishii,"Desert Larkspur, Ocean-blue Larkspur, Paleface Delphinium",Ranunculaceae (Buttercup Family),Perennial,Herb,Medium,"Blue , Purple",No,"Apr , May , Jun",Y,"Dry, rocky knolls; desert mesas & washes",Desert Plants,Low,Sun,Medium,High,"dry, rocky, sandy, desert slopes",RAINFALL ONLY,Heat Lovers,"Wildflower Meadow, Pollinator Border","Hummingbirds, Native Bees, Butterflies",Toxic,Toxic,All parts (alkaloids),Not found (nursery); seed only,SEED-$4-7,Budget ($3-15),Seed only,Wildflower event/seed best,../image_archive/320x240/AMB/AMB_IMG0079.JPG,https://www.wildflower.org/plants/result.php?id_plant=DEPA
Delphinium scaposum,"Tall Mountain Larkspur, Bare-stem Larkspur",Ranunculaceae (Buttercup Family),Perennial,Herb,Small,Blue,No,"Mar , Apr , May",Y,Open deserts; gravelly mesas,Shrubland & Chaparral Species,Low,Sun,Medium,High,"dry, gravelly, rocky, calcareous",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Wildflower Border, Pollinator Garden","Hummingbirds, Native Bees, Butterflies",Toxic,Toxic,All parts (alkaloids),Not found (nursery); seed only,SEED-$4-7,Budget ($3-15),Seed only,Wildflower event/seed best,../image_archive/320x240/PCD3620/PCD3620_IMG0043.JPG,https://www.wildflower.org/plants/result.php?id_plant=DESC
Dichelostemma capitatum,"Bluedicks, Wild Hyacinth",Liliaceae (Lily Family),Perennial,Herb,Small–Medium,Purple,No,"Mar , Apr , May",Y,Mesas; open slopes; chaparral; grasslands,Medium Drought Tolerance Species,Low,Sun,High,High,"poor, dry, rocky, sandy", WEEKLY WATERING,Heat Tolerant,"Wildflower Bed, Bulb Border","Native Bees, Early Pollinators, Butterflies",Not toxic,Not toxic,None,"Civano, Spadefoot, AZDM Plant Sale",SMALL-$5-12,Budget ($3-15),"1 gal, bare root, seed",Limited seasonal retail; some years only bulbs/seed available,../image_archive/320x240/EPS/EPS_IMG22400.JPG,https://www.wildflower.org/plants/result.php?id_plant=DICAC5
Distichlis spicata,"Saltgrass, Coastal Salt Grass, Inland Salt-grass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Medium,Yellow,No,"Apr , May , Jun , Jul , Aug , Sep , Oct",Y,Alkali flats; saline marshes,Shrubland & Chaparral Species,Medium,Sun,High,High,"wet, saline, alkaline, sandy, clay",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Lawn Alternative, Ground Cover (salty/alkaline soils)","Birds, Butterflies, Multiple Skipper Larvae, Small Mammals",Not toxic,Not toxic*,None,"Desert Survivors, Spadefoot",SMALL-$7-15,Budget ($3-15),"#1 container, 4"" pot",Also available as sod for turf restoration,../image_archive/320x240/PCD1001/PCD1001_IMG0005.JPG,https://www.wildflower.org/plants/result.php?id_plant=DISP
Dodonaea viscosa,"Florida Hopbush, Hopseed Bush, Switch Sorrel, Varnish Leaf, Hopbush, Chapoliztle, Casol",Sapindaceae (Soapberry Family),Perennial,Shrub,Large,"White , Yellow , Green",No,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",Y,"Dry, rocky slopes & canyons; grassy savannas; coastal hammocks",Desert Cacti & Succulents,Low,Sun,Medium,High,"rocky, limestone, sandy, well-drained, wind/salt-tolerant",RAINFALL ONLY,Heat Lovers,"Screen, Hedge, Windbreak","Birds, Beneficial Insects, Bees, Wildlife Cover",Not toxic,Not toxic,None,"Civano, Spadefoot, MSQ Valley",MEDIUM-$16-35,Moderate ($16-40),"#1, #5, 5 gal",Regularly stocked by most nurseries,../image_archive/320x240/PCR/PCR_IMG0046.JPG,https://www.wildflower.org/plants/result.php?id_plant=DOVI
Echinocereus engelmannii,"Engelmann's Hedgehog Cactus, Saints Cactus, Hedgehog Cactus, Strawberry Cactus, Strawberry Hedgehog Cactus, Purple Torch",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Small,"Red , Pink",Yes,"Mar , Apr , May , Jun",Y,"Rocky & brushy plains, canyons, outwash fans & hillsides",Desert Cacti & Succulents,Low,Sun,High,Very High,"sandy, rocky, gravelly, desert, caliche-tolerant",RAINFALL ONLY,Heat Lovers,"Rock Garden, Accent Cactus, Wildlife Habitat","Native Bees, Birds, Pollinators, Insects",Not toxic,Not toxic (spines injure),Spines,"Spadefoot, DS, AZ Cactus Sellers",SMALL-$8-24,Budget ($3-15),"1 gal, 5"" pot, 2 gal",Variable by specimen size,../image_archive/320x240/A_C/A_C_IMG2448.JPG,https://www.wildflower.org/plants/result.php?id_plant=ECEN
Echinocereus reichenbachii,"Lace Hedgehog Cactus, Lace Cactus",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Small,"Pink , Purple",Yes,"Apr , May",N,Unknown,Transition Zone Species,Low,Sun,High,Very High,"well-drained, sandy, gravelly, calcareous",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Rock Garden, Accent Cactus","Native Bees, Pollinators, Birds, Insects",Not toxic,Not toxic (spines injure),Spines,"Spadefoot, Private Collectors",SMALL-$8-18,Budget ($3-15),"1–2 gal, 5"", specimen",Rare—usually available only spring,../image_archive/320x240/PCD2419/PCD2419_IMG0048.JPG,https://www.wildflower.org/plants/result.php?id_plant=ECRER4
Elymus lanceolatus,"Thickspike Wheatgrass, Wild Rye, Stream Bank Wheatgrass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Medium,Yellow,No,Apr,N,"Plains; dry hills; exposed ridges; sandy shores, moist meadows & hillsides",Medium Drought Tolerance Species,Low,"Sun, Part Shade",Medium,High,"dry, moist, sandy, well-drained, calcareous, loamy", WEEKLY WATERING,Heat Sensitive,"Erosion Control Slope, Prairie Restoration","Birds, Small Mammals, Insects",Not toxic,Not toxic,None,"Civano, DS, Pima Co., Spadefoot",SMALL-$7-13,Budget ($3-15),"4"" pot, 1 gal",Often under “native wheat grass”,../image_archive/320x240/JAM6151/6151_IMG02679.JPG,https://www.wildflower.org/plants/result.php?id_plant=ELLAL
Eragrostis intermedia,"Plains Lovegrass, Plains Love Grass",Poaceae (Grass Family),Perennial,Grass/Grass-like,Medium,"Pink , Purple",No,"May , Jun , Jul , Aug , Sep , Oct",Y,"Dry or sandy slopes & plains, Found throughout Texas except in easternmost part. Sand, clay, rocky soils, often disturbed",Shrubland & Chaparral Species,Low,"Sun, Part Shade",Medium,Medium,"deep, well-drained, sandy, clay, loam, disturbed",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Ground Cover, Erosion Control, Prairie, Lawn Alternative","Native Bees, Birds, Forage, Butterflies",Not toxic,Not toxic,None,"Civano, Desert Survivors",SMALL-$7-17,Budget ($3-15),"4""–1 gal",Grass starter pots only,../image_archive/320x240/PCD1284/PCD1284_IMG0038.JPG,https://www.wildflower.org/plants/result.php?id_plant=ERIN
Ericameria nauseosa,"Rubber Rabbitbrush, Rabbitbrush",Asteraceae (Aster Family),Perennial,Shrub,Small–Medium,Yellow,Yes,"Jul , Aug",Y,"Dry grasslands, badlands, salt flats, and foothills",Shrubland & Chaparral Species,Low,Sun,High,High,"dry, sandy, saline, alkaline",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Erosion Control Slope, Windbreak, Pollinator Garden","Native Bees, Butterflies, Host for Painted Lady Caterpillars, Birds",Mildly toxic (GI upset),Mildly toxic (GI upset)*,All parts,"Spadefoot, DS, Civano",SMALL-$7-15,Budget ($3-15),"4"", 1 gal","Sometimes under ""Rabbitbrush""",../image_archive/320x240/SS500/SS500_IMG0040.JPG,https://www.wildflower.org/plants/result.php?id_plant=ERNAN5
Eriogonum fasciculatum,"Eastern Mojave Buckwheat, Eastern Mojave Wild Buckwheat, California Buckwheat, Flattop Buckwheat, Flat-top Buckwheat",Polygonaceae (Buckwheat Family),Perennial,Shrub,Medium,"White , Pink",No/Slight,"May , Jun , Jul , Aug , Sep , Oct",Y,"Dry, rocky slopes & canyons",Shrubland & Chaparral Species,Low,Sun,High,High,"dry, rocky, well-drained, caliche",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Ground Cover, Bee Garden, Erosion Control","Native Bees, Butterflies, Wasps, Small Birds",Not toxic,Not toxic,None,"Spadefoot, Civano, DS",SMALL-$7-14,Budget ($3-15),"4"", 1 gal","Reliable, especially spring/fall",../image_archive/320x240/EWA/EWA_IMG07043.JPG,https://www.wildflower.org/plants/result.php?id_plant=ERFA2
Eriogonum inflatum,"Desert Trumpet, Indian Pipeweed, Bladderstem, Bottle Stopper",Polygonaceae (Buckwheat Family),Annual/Biennial,Herb,Medium,"Yellow , Green",No,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Y,Deserts washes & mesas below 6000 ft.,Mountain & High Elevation Species,Low,Sun,High,High,"rocky, sandy, caliche, alkaline",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Wildflower Border, Pollinator Area","Native Bees, Butterflies, Insects",Not toxic,Not toxic,None,"Spadefoot, Seed sales",SEED-$7 SMALL-$12,Budget ($3-15),"4"", 1 gal, seed","Regularly by seed, sometimes as plant",../image_archive/320x240/EPS/EPS_IMG21797.JPG,https://www.wildflower.org/plants/result.php?id_plant=ERIN4
Erythrina flabelliformis,"Coralbean, Coral-bean, Indian Bean, Chilicote",Fabaceae (Pea Family),Perennial,Shrub,Medium–Large,Red,No/Slight,"Apr , May , Jun",Y,"Dry, rocky slopes & washes",Mountain & High Elevation Species,Low,Sun,Medium,Medium,"dry, rocky, frost-sensitive",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Hummingbird Garden, Ornamental Accent","Hummingbirds, Bees, Birds",Toxic,Toxic,All parts (especially seeds),"Desert Survivors, AZDM",SMALL-$14-28,Budget ($3-15),"1 gal, 5 gal",Limited/trial ornamental,../image_archive/320x240/RWS/RWS_IMG1903.JPG,https://www.wildflower.org/plants/result.php?id_plant=ERFL7
Eschscholzia californica,"Mexican Gold Poppy, California Poppy",Papaveraceae (Poppy Family),Annual,Herb,Small,"Orange , Yellow",No,"Mar , Apr , May",Y,Plains & mesas; 4500 ft. or lower,Mountain & High Elevation Species,Low,Sun,High,High,"well-drained, sandy, loamy, limestone-preferred",DEEP WATERING EVERY 2-3 WEEKS,Heat Lovers,"Wildflower Meadow, Annual Border, Lawn Alternative","Native Bees, Bumble Bees, Butterflies, Pollinators",Not toxic*,Not toxic*,None,"Most garden centers, Spadefoot",SEED-$4 SMALL-$8,Budget ($3-15),"Seed packs, 4"", 1 gal","Common for seed, less for plants",../image_archive/320x240/EPS/EPS_IMG14170.JPG,https://www.wildflower.org/plants/result.php?id_plant=ESCAM
Fallugia paradoxa,"Apache Plume, Ponil",Rosaceae (Rose Family),Perennial,Shrub,Large,White,No,"May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",Y,"Dry, rocky slopes; open woods; dry washes; 3000 to 8000 ft.",Mountain & High Elevation Species,Low,"Sun, Part Shade",High,High,"dry, gravelly, sandy, caliche, loamy, well-drained",DEEP WATERING EVERY 2-3 WEEKS,Heat Sensitive,"Erosion Control Slope, Informal Hedge, Accent Shrub","Wildlife Browse, Native Insects, Pollinators, Birds",Not toxic,Not toxic,None,"Civano, DS, Spadefoot",SMALL-$10-22,Budget ($3-15),"1 gal, 5 gal",Regular in local trade,../image_archive/320x240/EWA/EWA_IMG07575.JPG,https://www.wildflower.org/plants/result.php?id_plant=FAPA
Fendlera rupicola,"Cliff Fendlerbush, False Mock-orange",Hydrangeaceae (Hydrangea Family),Perennial,Shrub,Large,"White , Pink",Yes,"Mar , Apr , May , Jun",Y,"Dry, rocky mt. slopes; deserts; mesas",Desert Cacti & Succulents,Low,Sun,High,High,"igneous, limestone, rocky, well-drained",RAINFALL ONLY,Heat Lovers,"Shrub Border, Large Accent, Wildlife Habitat","Wildlife Browse (Deer, Elk), Bees, Birds",Not toxic,Not toxic,None,"Spadefoot, Civano",SMALL-$10-22,Budget ($3-15),"1 gal, 5 gal",May also be called “cliff fendlerbush”,../image_archive/320x240/TLM/TLM_CIMG2304.JPG,https://www.wildflower.org/plants/result.php?id_plant=FERU
Ferocactus cylindraceus,California Barrel Cactus,Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Large,"Red , Yellow",No,"Feb , Mar , Apr , May",Y,Unknown,Desert Cacti & Succulents,Low,Sun,High,Very High,"dry, rocky, sandy, gravelly, caliche-rich",RAINFALL ONLY,Heat Lovers,"Security Barrier, Accent, Wildlife Habitat","Birds, Desert Animals, Small Mammals, Pollinators",Not toxic,Not toxic (spines injure),Spines,"Spadefoot, MSQ Valley, AZ Cactus",MEDIUM-$20-40,Moderate ($16-40),"1 gal–5 gal, specimen",Larger barrels = higher price,../image_archive/320x240/PCD3982/PCD3982_IMG0013.JPG,https://www.wildflower.org/plants/result.php?id_plant=FECYC
Ferocactus wislizeni,"Candy Barrel, Candy Barrel Cactus, Fishhook Barrel Cactus, Southwestern Barrel Cactus",Cactaceae (Cactus Family),Perennial,Cactus/Succulent,Large,"Red , Orange , Yellow",No,"Jun , Jul , Aug , Sep",Y,Deserts; grasslands; rocky areas,Desert Cacti & Succulents,Low,Sun,High,Very High,"sandy, gravelly, well-drained, caliche, rocky",RAINFALL ONLY,Heat Lovers,"Security Barrier, Accent, Wildlife Habitat","Birds, Small Mammals, Insects, Bees",Not toxic,Not toxic (spines injure),Spines,"Civano, AZDM, Spadefoot",MEDIUM-$20-45,Moderate ($16-40),"1 gal–5 gal, specimen",Larger barrels = higher price,../image_archive/320x240/EPS/EPS_IMG10784.JPG,https://www.wildflower.org/plants/result.php?id_plant=FEWI
Fouquieria splendens,"Ocotillo, Devil's Walking Stick, Candlewood",Fouquieriaceae (Ocotillo Family),Perennial,Shrub,Extra Large,"Red , Orange",Yes (slight),"Mar , Apr , May , Jun , Jul",Y,Flat desert areas,Riparian & Moist Site Species,Low,"Sun, Part Shade",High,Very High,"sandy, rocky, well-drained, limestone, caliche, igneous", WEEKLY WATERING,Heat Tolerant,"Accent Plant, Security Barrier, Desert Icon, Informal Hedge","Hummingbirds, Birds, Insects, Small Mammals, Pollinators",Not toxic,Not toxic,None,"Spadefoot, DS, Civano",MEDIUM-$22-65+,Moderate ($16-40),"1–5 gal, field grown","Tall/bare-root $40+, small $20–35",../image_archive/320x240/EWA/EWA_IMG07720.JPG,https://www.wildflower.org/plants/result.php?id_plant=FOSP2
Fremontodendron californicum,"California Flannelbush, Northern Flannelbush, Northern Fremontia, California Slippery Elm",Sterculiaceae (Cacao Family),Perennial,Shrub/Small Tree,Extra Large,Yellow,Somewhat,"May , Jun",Y,"Dry, granitic, north slopes; 3000 to 6000 ft.",Shrubland & Chaparral Species,Low,"Sun, Part Shade",Medium,Low,"dry, well-drained, granitic or sandy",DEEP WATERING EVERY 2-3 WEEKS,Heat Tolerant,"Screening Shrub, Accent/Focal Point","Bees, Butterflies, Pollinators",Irritating hairs,Irritating hairs,Tissues have irritating hairs,"DS*, RBG/Online",SMALL-$15-30,Budget ($3-15),"1 gal, rarely larger","Rare, mainly online/plant sales",../image_archive/320x240/PCD1757/PCD1757_IMG0053.JPG,https://www.wildflower.org/plants/result.php?id_plant=FRCA6
